"condono","bbl"
2288,1001871001
2288,1001871002
2288,1001871003
256,1002461001
256,1002461002
256,1002461003
256,1002461004
256,1002461005
256,1002461006
256,1002461007
256,1002461008
256,1002461009
256,1002461010
256,1002461011
256,1002461012
256,1002461013
256,1002461014
256,1002461015
256,1002461016
256,1002461017
256,1002461018
256,1002461019
256,1002461020
256,1002461021
256,1002461022
256,1002461023
256,1002461024
256,1002461025
256,1002461026
256,1002461027
256,1002461028
256,1002461029
256,1002461030
256,1002461031
256,1002461032
256,1002461033
256,1002461034
256,1002461035
256,1002461036
256,1002461037
256,1002461038
256,1002461039
256,1002461040
256,1002461041
256,1002461042
256,1002461043
256,1002461044
256,1002461045
256,1002461046
256,1002461047
256,1002461048
256,1002461049
256,1002461050
256,1002461051
256,1002461052
256,1002461053
256,1002461054
256,1002461055
256,1002461056
256,1002461057
2109,1003491101
2109,1003491102
2109,1003491103
2157,1003991101
2157,1003991102
2235,1004361001
2235,1004361002
724,1005191001
724,1005191002
948,1005261001
948,1005261002
661,1005281201
661,1005281202
1245,1006081501
1245,1006081502
520,1006221001
520,1006221002
2135,1006221101
2135,1006221102
2253,1006231101
2253,1006231102
1316,1006271101
1316,1006271102
1316,1006271103
1522,1006271201
1522,1006271202
1522,1006271203
2383,1006291401
2383,1006291402
2383,1006291403
845,1006321001
845,1006321002
2111,1006351201
2111,1006351202
1748,1007171301
1748,1007171302
1748,1007171303
1110,1007421101
1110,1007421102
809,1007711001
809,1007711002
1029,1007901001
1029,1007901002
1687,1007911001
1687,1007911002
1687,1007911003
819,1007931101
819,1007931102
1560,1008751001
1560,1008751002
2090,1008751101
2090,1008751102
2090,1008751103
2212,1008841001
2212,1008841002
578,1008901401
578,1008901402
691,1009131001
691,1009131002
691,1009131003
2483,1011411201
2483,1011411202
991,1011491101
991,1011491102
991,1011491103
5,1012241001
5,1012241002
476,1012241010
476,1012241011
552,1012241101
552,1012241102
922,1012481001
922,1012481002
922,1012481003
68,1012501001
68,1012501002
783,1013431101
783,1013431102
1159,1013791201
1159,1013791202
1159,1013791203
841,1013981401
841,1013981402
841,1013981403
358,1014061001
358,1014061002
1857,1014061101
1857,1014061102
1252,1014921101
1252,1014921102
1252,1014921103
703,1014941001
703,1014941002
2363,1015051301
2363,1015051302
63,1015231001
63,1015231002
2302,1015291001
2302,1015291002
2302,1015291003
183,1015451001
183,1015451002
1299,1015461001
1299,1015461002
1299,1015461003
2205,1015641201
2205,1015641202
2160,1016601101
2160,1016601102
1776,1017231001
1776,1017231002
1794,1017241201
1794,1017241202
2421,1017251201
2421,1017251202
2421,1017251203
2478,1018201301
2478,1018201302
2478,1018201303
1725,1018271001
1725,1018271002
505,1018911001
505,1018911002
2229,1018921001
2229,1018921002
2229,1018921003
869,1019061001
869,1019061002
869,1019061003
2362,1019061101
2362,1019061102
2362,1019061103
863,1019071001
863,1019071002
867,1019071020
867,1019071021
867,1019071022
862,1019071030
862,1019071031
862,1019071032
868,1019071040
868,1019071041
1744,1019081201
1744,1019081202
1745,1019111001
1745,1019111002
1948,1019211101
1948,1019211102
2274,1019281601
2274,1019281602
2386,1019281701
2386,1019281702
2386,1019281703
1536,1019291201
1536,1019291202
1536,1019291203
1997,1019471101
1997,1019471102
1997,1019471103
215,1019601001
215,1019601002
891,1020241001
891,1020241002
2155,1020411401
2155,1020411402
2155,1020411403
2389,1020421201
2389,1020421202
1779,1020501101
1779,1020501102
879,1020591001
879,1020591002
879,1020591003
873,1020591020
873,1020591021
873,1020591022
830,1020611001
830,1020611002
830,1020611003
1644,1020811201
1644,1020811202
1644,1020811203
808,1022151001
808,1022151002
808,1022151003
808,1022151004
808,1022151005
808,1022151006
808,1022151007
808,1022151008
808,1022151009
808,1022151010
808,1022151011
808,1022151012
808,1022151013
808,1022151014
808,1022151015
808,1022151016
808,1022151017
808,1022151018
808,1022151019
808,1022151020
808,1022151021
808,1022151022
808,1022151023
808,1022151024
808,1022151025
808,1022151026
808,1022151027
808,1022151028
808,1022151029
808,1022151030
808,1022151031
808,1022151032
808,1022151033
47,2023601001
47,2023601002
47,2023601003
47,2023601004
47,2023601005
47,2023601006
47,2023601007
47,2023601008
47,2023601009
47,2023601010
47,2023601011
47,2023601012
47,2023601013
47,2023601014
47,2023601015
47,2023601016
47,2023601017
47,2023601018
47,2023601019
47,2023601020
47,2023601021
47,2023601022
47,2023601023
47,2023601024
47,2023601025
47,2023601026
47,2023601027
47,2023601028
47,2023601029
47,2023601030
47,2023601031
47,2023601032
47,2023601033
47,2023601034
47,2023601035
47,2023601036
47,2023601037
47,2023601038
47,2023601039
47,2023601040
47,2023601041
47,2023601042
47,2023601043
47,2023601044
47,2023601045
47,2023601046
47,2023601047
47,2023601048
47,2023601049
47,2023601050
47,2023601051
47,2023601052
47,2023601053
47,2023601054
47,2023601055
47,2023601056
47,2023601057
47,2023601058
47,2023601059
47,2023601060
47,2023601061
47,2023601062
47,2023601063
47,2023601064
47,2023601065
47,2023601066
47,2023601067
47,2023601068
47,2023601069
47,2023601070
47,2023601071
47,2023601072
47,2023601073
47,2023601074
47,2023601075
47,2023601076
47,2023601077
47,2023601078
47,2023601079
47,2023601080
47,2023601081
47,2023601082
47,2023601083
47,2023601084
47,2023601085
47,2023601086
47,2023601087
47,2023601088
47,2023601089
47,2023601090
47,2023601091
47,2023601092
47,2023601093
47,2023601094
47,2023601095
47,2023601096
47,2023601097
47,2023601098
47,2023601099
47,2023601100
47,2023601101
47,2023601102
47,2023601103
47,2023601104
47,2023601105
47,2023601106
47,2023601107
47,2023601108
47,2023601109
47,2023601110
47,2023601111
47,2023601112
47,2023601113
47,2023601114
47,2023601115
47,2023601116
47,2023601117
47,2023601118
47,2023601119
47,2023601120
47,2023601121
47,2023601122
47,2023601123
47,2023601124
47,2023601125
47,2023601126
47,2023601127
47,2023601128
47,2023601129
47,2023601130
47,2023601131
47,2023601132
47,2023601133
47,2023601134
47,2023601135
47,2023601136
47,2023601137
47,2023601138
47,2023601139
47,2023601140
47,2023601141
47,2023601142
47,2023601143
47,2023601144
47,2023601145
47,2023601146
47,2023601147
47,2023601148
47,2023601149
47,2023601150
47,2023601151
47,2023601152
47,2023601153
47,2023601154
47,2023601155
47,2023601156
47,2023601157
47,2023601158
47,2023601159
47,2023601160
47,2023601161
47,2023601162
47,2023601163
47,2023601164
47,2023601165
47,2023601166
47,2023601167
47,2023601168
47,2023601169
47,2023601170
47,2023601171
47,2023601172
47,2023601173
47,2023601174
47,2023601175
47,2023601176
47,2023601177
47,2023601178
47,2023601179
47,2023601180
47,2023601181
47,2023601182
47,2023601183
47,2023601184
47,2023601185
47,2023601186
47,2023601187
47,2023601188
47,2023601189
47,2023601190
47,2023601191
47,2023601192
47,2023601193
47,2023601194
47,2023601195
47,2023601196
47,2023601197
47,2023601198
47,2023601199
47,2023601200
47,2023601201
47,2023601202
